"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14077","deve navegar por todas as telas do app","Navegação entre telas - Menu inferior","2026-02-13","passed","2026-02-13","","","",""
"","7181","deve selecionar item no dropdown","Forms - validação completa","2026-02-13","passed","2026-02-13","","","",""
"","6988","deve mostrar erro ao inserir senha menor que 8 caracteres","Login - Fluxo completo","2026-02-13","passed","2026-02-13","","","",""
"","8433","deve clicar no botão Active e validar o modal","Forms - validação completa","2026-02-13","passed","2026-02-13","","","",""
"","6675","deve alternar o switch","Forms - validação completa","2026-02-13","passed","2026-02-13","","","",""
"","5942","deve preencher input e validar retorno","Forms - validação completa","2026-02-13","passed","2026-02-13","","","",""
"","5906","deve mostrar erro ao inserir email inválido","Login - Fluxo completo","2026-02-13","passed","2026-02-13","","","",""
"","15743","deve clicar no botão Inactive e validar o modal","Forms - validação completa","2026-02-13","broken","2026-02-13","","","",""
"","10451","deve logar com credenciais válidas","Login - Fluxo completo","2026-02-13","passed","2026-02-13","","","",""
"","7017","deve mostrar ambos os erros juntos","Login - Fluxo completo","2026-02-13","passed","2026-02-13","","","",""
